2020-01-16 11:14:35.385 - INFO  [main] org.hibernate.dialect.Dialect : HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2020-01-16 11:14:35.721 - WARN  [main] org.hibernate.id.UUIDHexGenerator : HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
2020-01-16 11:14:36.652 - INFO  [main] transaction.jta.platform.internal.JtaPlatformInitiator : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-01-16 11:14:36.663 - INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-01-16 11:14:38.148 - INFO  [main] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
2020-01-16 11:14:38.782 - INFO  [main] com.warsbull.blog.controller.InitTest : Started InitTest in 8.148 seconds (JVM running for 10.718)
2020-01-16 11:14:38.884 - INFO  [main] boot.test.mock.web.SpringBootMockServletContext : Initializing Spring TestDispatcherServlet ''
2020-01-16 11:14:38.884 - INFO  [main] springframework.test.web.servlet.TestDispatcherServlet : Initializing Servlet ''
2020-01-16 11:14:38.904 - INFO  [main] springframework.test.web.servlet.TestDispatcherServlet : Completed initialization in 20 ms
2020-01-16 11:14:38.932 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Using existing EHCache named [userCache]
2020-01-16 11:14:38.932 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Using existing EHCache named [userCache]
2020-01-16 11:14:39.074 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Using existing EHCache named [userCache]
2020-01-16 11:14:39.108 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Using existing EHCache named [userCache]
2020-01-16 11:14:39.109 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Using existing EHCache named [userCache]
2020-01-16 11:14:39.159 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Using existing EHCache named [userCache]
2020-01-16 11:14:39.216 - INFO  [SpringContextShutdownHook] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor : Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-16 11:14:39.217 - INFO  [SpringContextShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2020-01-16 11:14:39.227 - INFO  [SpringContextShutdownHook] com.alibaba.druid.pool.DruidDataSource : {dataSource-1} closed
2020-01-16 11:16:50.655 - INFO  [main] springframework.boot.test.context.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.warsbull.blog.controller.InitTest], using SpringBootContextLoader
2020-01-16 11:16:50.665 - INFO  [main] springframework.test.context.support.AbstractContextLoader : Could not detect default resource locations for test class [com.warsbull.blog.controller.InitTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-01-16 11:16:50.665 - INFO  [main] springframework.test.context.support.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.warsbull.blog.controller.InitTest]: InitTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-01-16 11:16:50.787 - INFO  [main] springframework.boot.test.context.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.warsbull.BlogApplication for test class com.warsbull.blog.controller.InitTest
2020-01-16 11:16:50.901 - INFO  [main] springframework.boot.test.context.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-01-16 11:16:50.934 - INFO  [main] springframework.boot.test.context.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@72805168, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@34b9fc7d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@27f1bbe0, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@cda0432, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7c211fd0, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7004e3d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2d84cb86, org.springframework.test.context.event.EventPublishingTestExecutionListener@71a3a190, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@588ffeb, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7c28c1, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@baf1bb3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@67ec8477, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@25d958c6]
2020-01-16 11:16:51.475 - INFO  [main] com.warsbull.blog.controller.InitTest : Starting InitTest on DESKTOP-H8N7A1J with PID 8712 (started by T6094 in E:\Projects\blog\src\main\java)
2020-01-16 11:16:51.480 - INFO  [main] com.warsbull.blog.controller.InitTest : No active profile set, falling back to default profiles: default
2020-01-16 11:16:52.665 - INFO  [main] springframework.data.repository.config.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2020-01-16 11:16:52.669 - INFO  [main] springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-01-16 11:16:52.844 - INFO  [main] springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 166ms. Found 1 JPA repository interfaces.
2020-01-16 11:16:52.860 - INFO  [main] springframework.data.repository.config.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2020-01-16 11:16:52.861 - INFO  [main] springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-01-16 11:16:52.883 - INFO  [main] springframework.data.repository.config.RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.warsbull.system.sys.dao.UserDao. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
2020-01-16 11:16:52.883 - INFO  [main] springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 13ms. Found 0 Redis repository interfaces.
2020-01-16 11:16:53.395 - INFO  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'shiroProperties' of type [com.warsbull.system.common.security.ShiroProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-16 11:16:53.396 - INFO  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'shiroConfig' of type [com.warsbull.system.common.config.ShiroConfig$$EnhancerBySpringCGLIB$$dfb881a5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-16 11:16:53.424 - INFO  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'ehCacheManager' of type [org.apache.shiro.cache.ehcache.EhCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-16 11:16:53.774 - INFO  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'sysShiroRealm' of type [com.warsbull.system.common.security.SystemAuthorizingRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-16 11:16:53.910 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Cache with name 'com.warsbull.system.common.security.SystemAuthorizingRealm.authorizationCache' does not yet exist.  Creating now.
2020-01-16 11:16:53.912 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Added EhCache named [com.warsbull.system.common.security.SystemAuthorizingRealm.authorizationCache]
2020-01-16 11:16:53.927 - INFO  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-16 11:16:53.992 - INFO  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-16 11:16:54.007 - INFO  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-16 11:16:54.088 - INFO  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'spring.redis-org.springframework.boot.autoconfigure.data.redis.RedisProperties' of type [org.springframework.boot.autoconfigure.data.redis.RedisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-16 11:16:54.099 - INFO  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.boot.autoconfigure.data.redis.LettuceConnectionConfiguration' of type [org.springframework.boot.autoconfigure.data.redis.LettuceConnectionConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-16 11:16:54.230 - INFO  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'lettuceClientResources' of type [io.lettuce.core.resource.DefaultClientResources] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-16 11:16:54.391 - INFO  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'redisConnectionFactory' of type [org.springframework.data.redis.connection.lettuce.LettuceConnectionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-16 11:16:54.397 - INFO  [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'redisConfig' of type [com.warsbull.system.common.config.RedisConfig$$EnhancerBySpringCGLIB$$2a8708ef] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-16 11:16:54.898 - INFO  [main] hibernate.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default]
2020-01-16 11:16:55.009 - INFO  [main] org.hibernate.Version : HHH000412: Hibernate Core {5.4.7.Final}
2020-01-16 11:16:55.254 - INFO  [main] org.hibernate.annotations.common.Version : HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-01-16 11:16:55.526 - INFO  [main] com.alibaba.druid.pool.DruidDataSource : {dataSource-1} inited
2020-01-16 11:16:55.706 - INFO  [main] org.hibernate.dialect.Dialect : HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2020-01-16 11:16:56.046 - WARN  [main] org.hibernate.id.UUIDHexGenerator : HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
2020-01-16 11:16:57.066 - INFO  [main] transaction.jta.platform.internal.JtaPlatformInitiator : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-01-16 11:16:57.077 - INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-01-16 11:16:58.700 - INFO  [main] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
2020-01-16 11:16:59.368 - INFO  [main] com.warsbull.blog.controller.InitTest : Started InitTest in 8.343 seconds (JVM running for 10.776)
2020-01-16 11:16:59.463 - INFO  [main] boot.test.mock.web.SpringBootMockServletContext : Initializing Spring TestDispatcherServlet ''
2020-01-16 11:16:59.463 - INFO  [main] springframework.test.web.servlet.TestDispatcherServlet : Initializing Servlet ''
2020-01-16 11:16:59.482 - INFO  [main] springframework.test.web.servlet.TestDispatcherServlet : Completed initialization in 19 ms
2020-01-16 11:16:59.508 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Using existing EHCache named [userCache]
2020-01-16 11:16:59.508 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Using existing EHCache named [userCache]
2020-01-16 11:16:59.636 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Using existing EHCache named [userCache]
2020-01-16 11:16:59.680 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Using existing EHCache named [userCache]
2020-01-16 11:16:59.680 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Using existing EHCache named [userCache]
2020-01-16 11:16:59.721 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Using existing EHCache named [userCache]
2020-01-16 11:16:59.721 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Using existing EHCache named [userCache]
2020-01-16 11:16:59.721 - INFO  [main] apache.shiro.cache.ehcache.EhCacheManager : Using existing EHCache named [userCache]
2020-01-16 11:16:59.778 - INFO  [SpringContextShutdownHook] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor : Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-16 11:16:59.779 - INFO  [SpringContextShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2020-01-16 11:16:59.789 - INFO  [SpringContextShutdownHook] com.alibaba.druid.pool.DruidDataSource : {dataSource-1} closed
2020-01-16 11:17:20.304 - INFO  [main] springframework.boot.test.context.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.warsbull.blog.controller.InitTest], using SpringBootContextLoader
2020-01-16 11:17:20.314 - INFO  [main] springframework.test.context.support.AbstractContextLoader : Could not detect default resource locations for test class [com.warsbull.blog.controller.InitTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-01-16 11:17:20.315 - INFO  [main] springframework.test.context.support.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.warsbull.blog.controller.InitTest]: InitTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-01-16 11:17:20.424 - INFO  [main] springframework.boot.test.context.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.warsbull.BlogApplication for test class com.warsbull.blog.controller.InitTest
2020-01-16 11:17:20.525 - INFO  [main] springframework.boot.test.context.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-01-16 11:17:20.556 - INFO  [main] springframework.boot.test.context.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@72805168, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@34b9fc7d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@27f1bbe0, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@cda0432, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7c211fd0, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7004e3d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2d84cb86, org.springframework.test.context.event.EventPublishingTestExecutionListener@71a3a190, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@588ffeb, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7c28c1, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@baf1bb3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@67ec8477, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@25d958c6]
2020-01-16 11:17:21.056 - INFO  [main] com.warsbull.blog.controller.InitTest : Starting InitTest on DESKTOP-H8N7A1J with PID 8760 (started by T6094 in E:\Projects\blog\src\main\java)
2020-01-16 11:17:21.061 - INFO  [main] com.warsbull.blog.controller.InitTest : No active profile set, falling back to default profiles: default
2020-01-16 11:17:21.928 - INFO  [main] springframework.data.repository.config.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2020-01-16 11:17:21.932 - INFO  [main] springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-01-16 11:17:22.141 - INFO  [main] springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 198ms. Found 1 JPA repository interfaces.
